       T         RLIQ       RSOLID      PLIQ       PSOLID      ELIQ        ESOLID       SLIQ       SOLID        GLIQ       GSOLID        #ITER
  1.6161D+03  2.1645D+03  2.7258D+03 -7.3521D+00 -7.3521D+00  4.1612D+06  2.3666D+06  3.3594D+03  2.6816D+03 -4.6643D+06 -4.6643D+06        17
  1.7984D+03  2.4661D+03  2.8061D+03 -5.6490D+00 -5.6490D+00  3.8070D+06  2.5309D+06  3.3734D+03  2.8182D+03 -4.5502D+06 -4.5502D+06        10
  1.9807D+03  2.6594D+03  2.9109D+03 -3.2256D+00 -3.2256D+00  3.7804D+06  2.6862D+06  3.4305D+03  2.9310D+03 -4.2270D+06 -4.2270D+06         6
  2.1630D+03  2.8330D+03  3.0299D+03  2.2403D-10  2.2403D-10  3.8637D+06  2.8637D+06  3.4900D+03  3.0277D+03 -3.6848D+06 -3.6848D+06         1
  2.2089D+03  2.8753D+03  3.0616D+03  9.5505D-01  9.5505D-01  3.8984D+06  2.9142D+06  3.5048D+03  3.0501D+03 -3.5107D+06 -3.5107D+06         3
  2.2557D+03  2.9183D+03  3.0946D+03  1.9953D+00  1.9953D+00  3.9392D+06  2.9688D+06  3.5197D+03  3.0722D+03 -3.3162D+06 -3.3162D+06         4
  2.3036D+03  2.9619D+03  3.1288D+03  3.1285D+00  3.1285D+00  3.9864D+06  3.0279D+06  3.5348D+03  3.0942D+03 -3.0995D+06 -3.0995D+06         4
  2.3525D+03  3.0062D+03  3.1644D+03  4.3635D+00  4.3635D+00  4.0403D+06  3.0919D+06  3.5499D+03  3.1159D+03 -2.8588D+06 -2.8588D+06         4
  2.4024D+03  3.0513D+03  3.2013D+03  5.7097D+00  5.7097D+00  4.1015D+06  3.1616D+06  3.5653D+03  3.1375D+03 -2.5919D+06 -2.5919D+06         4
  2.4533D+03  3.0974D+03  3.2397D+03  7.1776D+00  7.1776D+00  4.1703D+06  3.2373D+06  3.5807D+03  3.1589D+03 -2.2965D+06 -2.2965D+06         4
  2.5054D+03  3.1441D+03  3.2807D+03  8.7715D+00  8.7715D+00  4.2474D+06  3.3199D+06  3.5964D+03  3.1798D+03 -1.9725D+06 -1.9725D+06         4
  2.5585D+03  3.1910D+03  3.3242D+03  1.0481D+01  1.0481D+01  4.3329D+06  3.4100D+06  3.6124D+03  3.2002D+03 -1.6243D+06 -1.6243D+06         4
  2.6128D+03  3.2376D+03  3.3696D+03  1.2290D+01  1.2290D+01  4.4269D+06  3.5083D+06  3.6290D+03  3.2204D+03 -1.2582D+06 -1.2582D+06         4
  2.6682D+03  3.2850D+03  3.4162D+03  1.4185D+01  1.4185D+01  4.5300D+06  3.6151D+06  3.6457D+03  3.2406D+03 -8.7861D+05 -8.7861D+05         4
  2.7248D+03  3.3339D+03  3.4640D+03  1.6174D+01  1.6174D+01  4.6429D+06  3.7307D+06  3.6624D+03  3.2607D+03 -4.8434D+05 -4.8434D+05         4
  2.7826D+03  3.3845D+03  3.5132D+03  1.8268D+01  1.8268D+01  4.7658D+06  3.8553D+06  3.6790D+03  3.2807D+03 -7.3376D+04 -7.3376D+04         4
  2.8416D+03  3.4367D+03  3.5639D+03  2.0476D+01  2.0476D+01  4.8993D+06  3.9895D+06  3.6956D+03  3.3006D+03  3.5641D+05  3.5641D+05         4
  2.9019D+03  3.4906D+03  3.6160D+03  2.2811D+01  2.2811D+01  5.0439D+06  4.1337D+06  3.7121D+03  3.3203D+03  8.0734D+05  8.0734D+05         4
  2.9635D+03  3.5463D+03  3.6696D+03  2.5286D+01  2.5286D+01  5.2001D+06  4.2883D+06  3.7285D+03  3.3399D+03  1.2819D+06  1.2819D+06         4
  3.0263D+03  3.6038D+03  3.7249D+03  2.7917D+01  2.7917D+01  5.3683D+06  4.4539D+06  3.7447D+03  3.3593D+03  1.7828D+06  1.7828D+06         4
  3.0905D+03  3.6631D+03  3.7819D+03  3.0718D+01  3.0718D+01  5.5493D+06  4.6311D+06  3.7608D+03  3.3785D+03  2.3129D+06  2.3129D+06         4
  3.1561D+03  3.7244D+03  3.8407D+03  3.3709D+01  3.3709D+01  5.7437D+06  4.8206D+06  3.7767D+03  3.3974D+03  2.8754D+06  2.8754D+06         4
  3.2230D+03  3.7878D+03  3.9015D+03  3.6908D+01  3.6908D+01  5.9522D+06  5.0230D+06  3.7925D+03  3.4160D+03  3.4736D+06  3.4736D+06         4
  3.2914D+03  3.8532D+03  3.9642D+03  4.0336D+01  4.0336D+01  6.1756D+06  5.2392D+06  3.8079D+03  3.4343D+03  4.1112D+06  4.1112D+06         4
  3.3612D+03  3.9208D+03  4.0290D+03  4.4018D+01  4.4018D+01  6.4148D+06  5.4702D+06  3.8231D+03  3.4523D+03  4.7921D+06  4.7921D+06         4
  3.4325D+03  3.9906D+03  4.0960D+03  4.7980D+01  4.7980D+01  6.6706D+06  5.7167D+06  3.8380D+03  3.4699D+03  5.5205D+06  5.5205D+06         4
  3.5053D+03  4.0628D+03  4.1654D+03  5.2250D+01  5.2250D+01  6.9441D+06  5.9799D+06  3.8526D+03  3.4871D+03  6.3009D+06  6.3009D+06         4
  3.5797D+03  4.1374D+03  4.2371D+03  5.6860D+01  5.6860D+01  7.2364D+06  6.2610D+06  3.8668D+03  3.5039D+03  7.1382D+06  7.1382D+06         5
  3.6556D+03  4.2146D+03  4.3115D+03  6.1845D+01  6.1845D+01  7.5488D+06  6.5612D+06  3.8806D+03  3.5202D+03  8.0377D+06  8.0377D+06         5
  3.7332D+03  4.2944D+03  4.3885D+03  6.7243D+01  6.7243D+01  7.8826D+06  6.8820D+06  3.8939D+03  3.5359D+03  9.0051D+06  9.0051D+06         5
  3.8124D+03  4.3770D+03  4.4683D+03  7.3097D+01  7.3097D+01  8.2393D+06  7.2248D+06  3.9068D+03  3.5511D+03  1.0046D+07  1.0046D+07         5
  3.8932D+03  4.4625D+03  4.5510D+03  7.9454D+01  7.9454D+01  8.6206D+06  7.5913D+06  3.9191D+03  3.5657D+03  1.1168D+07  1.1168D+07         5
  3.9758D+03  4.5511D+03  4.6369D+03  8.6367D+01  8.6367D+01  9.0282D+06  7.9833D+06  3.9308D+03  3.5797D+03  1.2378D+07  1.2378D+07         5
  4.0601D+03  4.6429D+03  4.7260D+03  9.3891D+01  9.3891D+01  9.4641D+06  8.4030D+06  3.9419D+03  3.5930D+03  1.3683D+07  1.3683D+07         5
  4.1463D+03  4.7381D+03  4.8186D+03  1.0209D+02  1.0209D+02  9.9306D+06  8.8523D+06  3.9524D+03  3.6055D+03  1.5091D+07  1.5091D+07         5
  4.2342D+03  4.8367D+03  4.9147D+03  1.1104D+02  1.1104D+02  1.0430D+07  9.3339D+06  3.9621D+03  3.6173D+03  1.6611D+07  1.6611D+07         6
  4.3240D+03  4.9391D+03  5.0146D+03  1.2081D+02  1.2081D+02  1.0965D+07  9.8503D+06  3.9711D+03  3.6282D+03  1.8254D+07  1.8254D+07         6
  4.4158D+03  5.0454D+03  5.1185D+03  1.3149D+02  1.3149D+02  1.1538D+07  1.0404D+07  3.9792D+03  3.6382D+03  2.0029D+07  2.0029D+07         6
  4.5094D+03  5.1559D+03  5.2266D+03  1.4318D+02  1.4318D+02  1.2153D+07  1.1000D+07  3.9865D+03  3.6473D+03  2.1947D+07  2.1947D+07         6
  4.6051D+03  5.2706D+03  5.3391D+03  1.5597D+02  1.5597D+02  1.2813D+07  1.1639D+07  3.9928D+03  3.6554D+03  2.4020D+07  2.4020D+07         7
  4.7028D+03  5.3899D+03  5.4563D+03  1.7001D+02  1.7001D+02  1.3522D+07  1.2327D+07  3.9981D+03  3.6624D+03  2.6262D+07  2.6262D+07         7
  4.8025D+03  5.5141D+03  5.5784D+03  1.8540D+02  1.8540D+02  1.4284D+07  1.3067D+07  4.0024D+03  3.6683D+03  2.8686D+07  2.8686D+07         7
  4.9044D+03  5.6434D+03  5.7056D+03  2.0230D+02  2.0230D+02  1.5104D+07  1.3864D+07  4.0055D+03  3.6730D+03  3.1308D+07  3.1308D+07         8
  5.0085D+03  5.7781D+03  5.8384D+03  2.2087D+02  2.2087D+02  1.5987D+07  1.4724D+07  4.0075D+03  3.6764D+03  3.4143D+07  3.4143D+07         8
  5.1147D+03  5.9184D+03  5.9769D+03  2.4130D+02  2.4130D+02  1.6938D+07  1.5651D+07  4.0081D+03  3.6786D+03  3.7210D+07  3.7210D+07         8
  5.2232D+03  6.0649D+03  6.1215D+03  2.6379D+02  2.6379D+02  1.7964D+07  1.6653D+07  4.0074D+03  3.6793D+03  4.0528D+07  4.0528D+07         9
  5.3340D+03  6.2177D+03  6.2726D+03  2.8856D+02  2.8856D+02  1.9072D+07  1.7735D+07  4.0053D+03  3.6785D+03  4.4118D+07  4.4118D+07         9
  5.4471D+03  6.3774D+03  6.4306D+03  3.1587D+02  3.1587D+02  2.0268D+07  1.8905D+07  4.0017D+03  3.6762D+03  4.8001D+07  4.8001D+07         9
  5.5627D+03  6.5443D+03  6.5959D+03  3.4601D+02  3.4601D+02  2.1562D+07  2.0172D+07  3.9965D+03  3.6722D+03  5.2203D+07  5.2203D+07        10
  5.6807D+03  6.7188D+03  6.7689D+03  3.7929D+02  3.7929D+02  2.2962D+07  2.1544D+07  3.9896D+03  3.6665D+03  5.6751D+07  5.6751D+07        10
  5.8012D+03  6.9015D+03  6.9502D+03  4.1607D+02  4.1607D+02  2.4478D+07  2.3032D+07  3.9810D+03  3.6590D+03  6.1672D+07  6.1672D+07        11
  5.9242D+03  7.0930D+03  7.1402D+03  4.5677D+02  4.5677D+02  2.6121D+07  2.4646D+07  3.9705D+03  3.6495D+03  6.6999D+07  6.6999D+07        11
  6.0499D+03  7.2936D+03  7.3395D+03  5.0183D+02  5.0183D+02  2.7905D+07  2.6399D+07  3.9580D+03  3.6381D+03  7.2765D+07  7.2765D+07        12
  6.1783D+03  7.5042D+03  7.5488D+03  5.5178D+02  5.5178D+02  2.9841D+07  2.8304D+07  3.9435D+03  3.6244D+03  7.9007D+07  7.9007D+07        12
  6.3093D+03  7.7254D+03  7.7687D+03  6.0718D+02  6.0718D+02  3.1945D+07  3.0376D+07  3.9268D+03  3.6086D+03  8.5767D+07  8.5767D+07        13
  6.4431D+03  7.9578D+03  8.0000D+03  6.6870D+02  6.6870D+02  3.4234D+07  3.2632D+07  3.9077D+03  3.5904D+03  9.3088D+07  9.3088D+07        13
  6.5798D+03  8.2023D+03  8.2434D+03  7.3709D+02  7.3709D+02  3.6725D+07  3.5089D+07  3.8863D+03  3.5697D+03  1.0102D+08  1.0102D+08        14
  6.7194D+03  8.4598D+03  8.4997D+03  8.1319D+02  8.1319D+02  3.9440D+07  3.7769D+07  3.8624D+03  3.5464D+03  1.0961D+08  1.0961D+08        15
  6.8619D+03  8.7312D+03  8.7701D+03  8.9796D+02  8.9796D+02  4.2400D+07  4.0692D+07  3.8358D+03  3.5204D+03  1.1893D+08  1.1893D+08        15
  7.0075D+03  9.0175D+03  9.0554D+03  9.9251D+02  9.9251D+02  4.5630D+07  4.3885D+07  3.8064D+03  3.4916D+03  1.2902D+08  1.2902D+08        16
  7.1561D+03  9.3199D+03  9.3568D+03  1.0981D+03  1.0981D+03  4.9159D+07  4.7374D+07  3.7740D+03  3.4597D+03  1.3997D+08  1.3997D+08        17
  7.3079D+03  9.6396D+03  9.6756D+03  1.2161D+03  1.2161D+03  5.3016D+07  5.1191D+07  3.7386D+03  3.4247D+03  1.5185D+08  1.5185D+08        18
  7.4630D+03  9.9780D+03  1.0013D+04  1.3483D+03  1.3483D+03  5.7237D+07  5.5370D+07  3.6999D+03  3.3863D+03  1.6475D+08  1.6475D+08        18
  7.6213D+03  1.0337D+04  1.0371D+04  1.4964D+03  1.4964D+03  6.1860D+07  5.9950D+07  3.6579D+03  3.3445D+03  1.7875D+08  1.7875D+08        19
  7.7829D+03  1.0717D+04  1.0750D+04  1.6627D+03  1.6627D+03  6.6927D+07  6.4972D+07  3.6123D+03  3.2990D+03  1.9396D+08  1.9396D+08        20
  7.9480D+03  1.1121D+04  1.1154D+04  1.8497D+03  1.8497D+03  7.2486D+07  7.0484D+07  3.5629D+03  3.2497D+03  2.1050D+08  2.1050D+08        21
  8.1166D+03  1.1551D+04  1.1583D+04  2.0603D+03  2.0603D+03  7.8591D+07  7.6541D+07  3.5096D+03  3.1964D+03  2.2848D+08  2.2848D+08        22
  8.2888D+03  1.2008D+04  1.2040D+04  2.2980D+03  2.2980D+03  8.5303D+07  8.3203D+07  3.4522D+03  3.1389D+03  2.4805D+08  2.4805D+08        23
